gene_name,cluster_index
B2M,6
FCER1G,6
IFI6,6
REL,6
HSPA8,6
HLA-E,6
NPC2,6
CALR,6
HLA-C,6
PRDX1,6
NFE2L2,6
ZMPSTE24,6
NFKB1,6
IFITM3,6
RTN4,6
NINJ1,6
CXCL2,6
TNIP1,6
PTGER4,6
NUB1,6
GNLY,6
TREM2,6
NCF1,6
CSNK1A1,6
CDC37,6
ST13,6
ZC3HAV1,6
MMP7,6
IFITM2,6
RAC2,6
RNASET2,6
CD58,6
LITAF,6
CCL2,6
CNPY3,6
SELENOW,6
CASP4,6
PSMA1,6
CFD,6
GBP2,6
STMP1,6
PJA2,6
DDX60L,6
C5AR2,6
FABP4,6
TENT5A,6
STIP1,6
LGALS9,6
FXR1,6
CELF1,6
MAP3K8,6
FYB1,6
CD14,6
ANXA1,6
PTPRC,6
TRIB1,6
MRPL15,6
ASS1,6
GBP3,6
RAB1A,6
NMI,6
ATG12,6
IRAK2,6
C5AR1,6
HMGB3,6
PLD4,6
CD47,6
PUM1,6
PTPN1,6
SMARCA5,6
OTULIN,6
GBP1,6
PLCG2,6
IFNAR1,6
EIF1,12
CD81,12
CD83,12
IL7R,12
PRRC2C,12
IL23A,12
HNRNPC,12
CDK6,12
SH3BGRL,12
TSC22D1,12
LMNA,12
IKZF1,12
IRF1,12
LCP2,12
HSPH1,12
ZFP36L2,12
CEBPB,12
ABCF1,12
IL4I1,12
NECTIN2,12
ICOSLG,12
XBP1,12
RELB,12
NCKAP1L,12
RIF1,12
RASSF5,12
IRF2BP2,12
EBI3,12
TNFRSF9,12
CD276,12
LAT2,12
SWAP70,12
ARID1B,12
EIF4G3,12
PAIP1,12
PNP,12
SKAP2,12
GPNMB,12
RBM23,12
JAK1,12
ITGB2,13
ICAM1,13
RHOA,13
ACTR3,13
HSPB1,13
MS4A7,13
CD99,13
OGFRL1,13
LAP3,13
APBB1IP,13
ZYX,13
ITGB7,13
YWHAG,13
PTPN12,13
PDLIM7,13
ADAM17,13
ABL2,13
NORAD,13
ITGB5,13
MRC2,13
CNN2,13
ITGAV,13
AIF1,13
PRKAR2A,13
TNS3,13
TPRA1,13
ERBIN,13
PPP1CB,13
MALAT1,20
S100A11,20
CXCL10,20
TMEM123,20
TGFB1,20
BAZ1A,20
GPSM3,20
EIF3F,20
STK10,20
SPN,20
PTP4A1,20
ADAM10,20
AKIRIN1,20
LYRM4,20
CPM,20
ISG15,31
IFIT3,31
ADAR,31
IFIT2,31
PARP14,31
IFI16,31
IFIT1,31
RNF213,31
CHMP5,31
EIF2AK2,31
STAT1,31
XAF1,31
TAP1,31
TRIM56,31
PLSCR1,31
SAMD9,31
SP100,31
OAS3,31
ZNFX1,31
SP110,31
SAMD9L,31
ISG20,31
SAMHD1,31
OASL,31
IFIH1,31
OAS1,31
MX2,31
IFI35,31
HELZ2,31
DDX58,31
APOL6,31
RBCK1,31
PML,31
PNPT1,31
USP18,31
PARP9,31
IFI44,31
TRIM38,31
OAS2,31
UBE2L6,31
DTX3L,31
PHACTR4,31
EPSTI1,31
TRIM25,31
